******************************************************

Date and time of analysis:  08-Nov-2020     18:07:15

Well path file:     em-input2.txt 
Initial MD unit:    [m]

Tool model file:    GYRO.ipm



******************************************************

Error terms included in analysis (name and IDtype):  
------------------------------------------------------
        drfr	               depth
        dsfs	               depth
        dstg	               depth
        mxy1	               misal
        mxy2	               misal
        mxy3	               misal
        mxy4	               misal
         sag	                 sag
    axyz_mis	               accel
    axyz_xyb	               accel
     axyz_sf	               accel
     axyz_zb	               accel
      gxy_b1	                gyro
      gxy_b2	                gyro
     gxy_gd1	                gyro
     gxy_gd4	                gyro
      gxy_rn	                gyro

******************************************************


      MD     INC      AZT       TVD       
*****************************************
    0.00    0.00     0.00      0.00    
   30.00    1.28   209.95     30.00    
   60.00    1.25   185.17     59.99    
   90.00    1.38   147.40     89.98    
  120.00    6.28   100.01    119.91    
  150.00    6.97    98.48    149.71    
  180.00    7.19    98.68    179.48    
  210.00    7.98    99.68    209.22    
  240.00    8.35    99.41    238.92    
  270.00   11.48    96.09    268.46   
  300.00   12.88    94.04    297.79    
  330.00   14.95    92.95    326.91   
  360.00   16.92    94.61    355.75  
  390.00   18.01    94.66    384.37   
  420.00   19.83    94.26    412.75    
  450.00   21.60    95.85    440.81    
  480.00   23.67    97.23    468.49   
  510.00   26.12    96.62    495.70   
  540.00   27.24    97.56    522.51   
  570.00   30.81    97.15    548.74    
  600.00   31.84    96.79    574.36    
  630.00   30.87    96.52    599.98  
  660.00   30.74    96.06    625.75   
  690.00   30.73    96.26    651.54    
  720.00   31.66    96.32    677.20   
  750.00   31.11    96.52    702.81    
  780.00   30.90    96.44    728.52    
  810.00   31.00    94.94    754.25    
  840.00   30.68    95.37    780.01    
  870.00   30.66    95.28    805.81
  900.00   32.54    94.96    831.36
  930.00   31.42    94.36    856.81   
  960.00   30.68    93.50    882.51  
  990.00   30.12    93.65    908.39  
 1020.00   30.46    93.70    934.29   
 1050.00   30.24    94.92    960.18    
 1080.00   29.55    95.59    986.19   
 1110.00   30.28    96.20   1012.19    
 1140.00   30.91    97.29   1038.02    
 1170.00   31.04    98.19   1063.74   
 1200.00   30.26    99.70   1089.55    
 1230.00   30.14   100.37   1115.47    
 1260.00   29.84   100.22   1141.46    
 1290.00   29.75   100.39   1167.49    
 1320.00   29.29   100.17   1193.60   
 1350.00   29.09   100.66   1219.79 
 1380.00   28.79   100.64   1246.04 
 1410.00   28.86   100.41   1272.32  
 1440.00   29.92   100.11   1298.46   
 1470.00   30.19    99.63   1324.43
 1500.00   30.03    99.36   1350.38   
 1530.00   29.95    99.35   1376.37   
 1560.00   30.16    98.93   1402.33   
 1590.00   30.26    99.61   1428.26    
 1620.00   29.85   100.85   1454.22   
 1650.00   29.80   100.69   1480.25    
 1680.00   29.71   100.75   1506.29    
 1710.00   29.71   101.05   1532.35    
 1740.00   29.82   101.12   1558.39    
 1770.00   29.97   101.17   1584.40  
 1800.00   30.05   101.64   1610.38   
 1830.00   30.08   101.55   1636.34    
 1860.00   30.23   101.36   1662.28    
 1890.00   29.84    99.77   1688.26    
 1920.00   29.65    99.61   1714.30    
 1950.00   29.84    99.51   1740.35    
 1980.00   30.16    99.46   1766.33    
 2010.00   30.08    99.48   1792.28    
 2040.00   30.26    99.45   1818.22    
 2070.00   30.46    99.46   1844.10    
 2100.00   30.50    99.38   1869.96    
 2130.00   30.29    99.58   1895.83    
 2160.00   30.25    99.35   1921.74    
 2190.00   30.54    99.90   1947.62    
 2220.00   30.80    99.83   1973.42    
 2250.00   30.79   100.15   1999.19   
 2280.00   30.97    99.89   2024.94    
 2310.00   31.07   100.08   2050.65   
 2340.00   31.32   100.08   2076.31    
 2370.00   31.52   100.35   2101.91    
 2400.00   33.83    99.29   2127.16    
 2430.00   36.53    99.29   2151.68    
 2460.00   39.46    99.19   2175.32    
 2490.00   42.21    98.82   2198.02    
 2520.00   43.26    99.23   2220.05  
 2550.00   46.35    99.43   2241.34    
 2580.00   48.63    99.19   2261.61    
 2610.00   49.78    99.51   2281.21   
 2640.00   50.73    99.73   2300.39   
 2670.00   52.47   100.06   2319.02    
 2700.00   54.15    99.82   2336.94    
 2730.00   54.30   100.01   2354.48   
 2760.00   54.43    99.55   2371.96    
 2790.00   54.56   100.41   2389.38    
 2820.00   54.72   100.65   2406.75    
 2850.00   55.69   101.36   2423.87  
 2880.00   55.84   100.54   2440.74    
 2910.00   55.98   101.29   2457.56   
 2940.00   56.29   101.70   2474.28 
 2970.00   54.50   100.43   2491.31    
 3000.00   54.95   101.11   2508.64  
 3030.00   55.12   102.01   2525.83    
 3060.00   55.62   101.57   2542.88    
 3090.00   54.91    98.76   2559.97    
 3120.00   55.11    99.28   2577.18  
***************************************
      MD     INC      AZT       TVD      
