******************************************************

Date and time of analysis:  08-Nov-2020     18:10:25

Well path file:     em-input1.txt 
Initial MD unit:    [m]

Tool model file:    MWD.IPM



******************************************************

Error terms included in analysis (name and IDtype):  
------------------------------------------------------
        drfr	               depth
        dsfs	               depth
        dstg	               depth
        xym1	               misal
        xym2	               misal
        xym3	               misal
        xym4	               misal
         sag	                 sag
        decg	             mwd_mag
        dbhg	             mwd_mag
        amil	             mwd_mag
    abxy_ti1	           mwd_accel
    abxy_ti2	       mwd_accel_lat
         abz	           mwd_accel
    asxy_ti1	           mwd_accel
    asxy_ti2	           mwd_accel
    asxy_ti3	           mwd_accel
         asz	           mwd_accel
    mbxy_ti1	             mwd_mag
    mbxy_ti2	             mwd_mag
         mbz	             mwd_mag
    msxy_ti1	             mwd_mag
    msxy_ti2	             mwd_mag
    msxy_ti3	             mwd_mag
         msz	             mwd_mag

******************************************************


      MD     INC      AZT       TVD       
**************************************
    0.00    0.00     0.00      0.00   
   69.00    1.40   180.00     68.99    
   98.00    1.70   139.60     97.98    
  128.00    4.50   106.00    127.94    
  158.00    7.10    99.20    157.78   
  180.00    7.10    97.30    179.61   
  208.00    7.80    99.30    207.38    
  237.00    8.10   100.10    236.10    
  265.00   10.70    98.10    263.72    
  294.00   12.00    96.10    292.15    
  322.00   14.10    92.80    319.43    
  350.00   16.20    93.50    346.45    
  380.00   17.30    95.60    375.18   
  407.00   18.90    94.50    400.84    
  436.00   20.80    94.70    428.12 
  465.00   22.40    97.40    455.08  
  493.00   24.20    98.10    480.80 
  522.00   26.60    97.40    506.99  
  550.00   27.40    98.20    531.94    
  580.00   30.30    98.80    558.22  
  608.00   32.20    97.70    582.15    
  635.00   31.10    97.40    605.14    
  664.00   30.90    97.30    629.99   
  693.00   30.00    97.40    654.99   
  721.00   31.70    97.10    679.03    
  748.00   31.80    97.40    701.99   
  776.00   30.70    98.00    725.93 
  805.00   31.80    96.40    750.72  
  833.00   30.30    96.20    774.71    
  862.00   30.40    96.30    799.73   
  891.00   31.50    97.20    824.60    
  919.00   32.30    96.20    848.38 
  948.00   31.50    94.80    873.00    
  976.00   30.60    94.80    896.98    
 1004.00   30.00    94.60    921.16    
 1032.00   30.40    94.40    945.36    
 1061.00   30.70    96.30    970.33 
 1079.00   30.00    96.90    985.87    
 1124.00   30.67    92.43   1024.71  
 1152.00   31.21    94.60   1048.73  
 1172.00   31.12    94.78   1065.84  
 1201.00   30.11    97.24   1090.80    
 1229.00   30.42    97.41   1114.98   
 1258.00   30.02    97.68   1140.04    
 1286.00   29.80    97.68   1164.31
 1314.00   29.41    97.41   1188.66   
 1343.00   29.32    97.76   1213.93   
 1372.00   29.19    97.85   1239.23  
 1401.00   28.79    98.12   1264.60    
 1430.00   29.58    97.33   1289.92   
 1459.00   29.89    96.62   1315.10   
 1487.00   29.89    96.45   1339.37    
 1515.00   29.89    96.27   1363.65   
 1543.00   30.11    96.36   1387.90    
 1573.00   30.29    96.18   1413.83    
 1601.00   29.89    97.68   1438.05    
 1631.00   29.58    97.94   1464.10   
 1660.00   29.80    98.64   1489.30   
 1688.00   29.58    98.12   1513.62    
 1717.00   29.49    98.20   1538.85    
 1745.00   29.89    98.64   1563.17    
 1774.00   29.58    98.12   1588.36    
 1802.00   29.80    98.56   1612.68    
 1830.00   30.02    98.56   1636.95   
 1859.00   30.29    99.08   1662.03    
 1888.00   30.20    97.85   1687.08   
 1916.00   29.71    96.97   1711.34   
 1944.00   29.80    96.97   1735.65    
 1973.00   30.20    97.15   1760.76    
 2002.00   30.20    97.41   1785.83    
 2030.00   30.29    96.97   1810.01   
 2059.00   30.29    97.33   1835.06    
 2088.00   30.59    96.95   1860.06    
 2117.00   30.20    97.33   1885.07    
 2146.00   30.42    97.33   1910.11    
 2175.00   30.29    97.06   1935.13    
 2203.00   30.59    97.68   1959.27   
 2231.00   30.51    98.03   1983.39    
 2260.00   30.81    97.85   2008.33    
 2289.00   30.99    97.85   2033.22    
 2318.00   31.12    97.30   2058.06    
 2347.00   31.52    97.76   2082.83    
 2376.00   31.52    98.03   2107.56    
 2404.00   33.80    96.36   2131.13  
 2433.00   36.62    96.36   2154.82   
 2462.00   39.30    96.18   2177.68   
 2490.00   41.80    95.74   2198.96   
 2519.00   42.81    96.45   2220.40    
 2547.00   45.32    96.62   2240.52    
 2576.00   47.78    96.18   2260.46   
 2605.00   49.49    96.23   2279.63    
 2632.00   50.20    96.36   2297.04    
 2662.00   52.31    97.06   2315.81    
 2691.00   53.58    96.36   2333.29    
 2719.00   54.20    96.53   2349.79    
 2748.00   54.29    96.53   2366.73   
 2777.00   54.51    97.06   2383.62   
 2805.00   54.51    97.15   2399.87    
 2834.00   54.81    97.76   2416.65   
 2863.00   55.78    98.20   2433.16    
 2892.00   55.69    98.12   2449.48    
 2921.00   56.22    98.82   2465.72    
 2950.00   55.38    98.20   2482.02   
 2978.00   54.51    98.03   2498.10    
 3006.00   55.12    98.64   2514.24  
 3035.00   54.99    98.91   2530.85   
 3064.00   55.52    98.03   2547.38    
 3092.00   54.90    95.66   2563.35    
 3121.00   55.21    95.92   2579.96   
 3156.00   54.99    96.80   2599.99   
 3182.00   54.90    97.24   2614.92    
 3211.00   55.12    96.18   2631.55    
 3237.00   55.12    96.80   2646.42    
 3267.00   54.68    96.01   2663.67   
 3297.00   53.88    93.02   2681.19 
 3325.00   53.19    93.63   2697.83   
 3354.00   54.02    94.78   2715.04   
 3382.00   54.29    95.04   2731.43    
 3410.00   54.02    94.86   2747.83   
 3439.00   53.71    96.01   2764.93    
 3468.00   53.58    96.36   2782.12    
 3495.00   53.49    96.01   2798.17   
 3524.00   53.41    96.18   2815.44   
 3553.00   53.58    96.36   2832.69 
 3582.00   53.10    96.62   2850.01   
 3612.00   52.70    96.97   2868.10    
 3640.00   52.30    97.50   2885.15    
 3670.00   52.22    96.71   2903.51    
*****************************************
      MD     INC      AZT       TVD       


