******************************************************

Date and time of analysis:  15-Nov-2020     20:17:38

Well path file:     em-input1.txt 
Initial MD unit:    [m]

Tool model file:    GYRO.ipm



******************************************************

Error terms included in analysis (name and IDtype):  
------------------------------------------------------
        drfr	               depth
        dsfs	               depth
        dstg	               depth
        mxy1	               misal
        mxy2	               misal
        mxy3	               misal
        mxy4	               misal
         sag	                 sag
    axyz_mis	               accel
    axyz_xyb	               accel
     axyz_sf	               accel
     axyz_zb	               accel
      gxy_b1	                gyro
      gxy_b2	                gyro
     gxy_gd1	                gyro
     gxy_gd4	                gyro
      gxy_rn	                gyro

******************************************************

      MD     INC      AZT       TVD       
*******************************************
   84.48    0.46   137.90      0.00   
  112.84    0.44   138.87     28.36   
  141.10    0.44   137.62     56.62    
  169.81    0.44   138.10     85.33    
  197.86    1.19   334.97    113.38    
  225.90    3.78   338.13    141.39   
  254.53    4.36   347.37    169.95    
  281.94    4.52   349.75    197.27   
  309.93    5.11   350.24    225.16   
  338.37    5.41   352.55    253.48    
  366.28    5.41   355.96    281.27   
  394.19    5.31   354.48    309.06    
  422.22    5.22   353.32    336.97    
  449.75    5.13   355.66    364.39    
  477.48    5.09   357.96    392.01  
  505.96    4.81   357.52    420.38   
  533.95    4.19   352.93    448.28    
  561.65    3.58   349.93    475.92    
  589.73    2.24   357.60    503.96    
  617.82    0.85    30.96    532.04    
  646.34    0.73   145.37    560.56    
  675.21    0.65   140.64    589.43   
  704.13    0.36    24.35    618.35    
  731.86    0.40    18.60    646.08    
  759.90    0.41    22.80    674.12    
  788.48    0.34     3.75    702.70    
  816.75    0.30   358.57    730.97   
  844.48    0.30   354.47    758.70    
  872.82    0.27   350.25    787.04    
  900.26    0.25   329.88    814.48    
  928.34    0.29   311.86    842.56   
  955.77    0.32   307.66    869.99   
  984.04    0.38   304.18    898.25   
 1011.97    0.40   299.73    926.18    
 1039.76    0.42   301.19    953.97    
 1067.69    0.50   313.68    981.90    
 1095.57    0.56   311.68   1009.78    
 1123.20    0.59   315.25   1037.41    
 1151.74    0.63   316.88   1065.95    
 1180.51    0.73   321.00   1094.72  
 1208.59    0.80   321.22   1122.79   
 1237.21    0.89   322.97   1151.41   
 1266.01    0.85   311.69   1180.21  
 1294.62    0.89   314.78   1208.81    
 1323.09    0.95   316.70   1237.28    
 1351.61    1.02   320.81   1265.80   
 1379.74    1.94   346.01   1293.92  
 1407.73    3.88   356.30   1321.87   
 1435.63    5.24    13.88   1349.68    
 1463.64    5.62    15.43   1377.57   
 1491.61    6.00    15.95   1405.39    
 1519.30    6.95    15.54   1432.91    
 1547.39    8.52    15.66   1460.74    
 1575.73    9.99    16.55   1488.71   
 1603.34   10.84    17.68   1515.86   
 1631.39   12.18    17.67   1543.35  
 1659.09   13.94    15.65   1570.33   
 1687.08   15.68    14.39   1597.39   
 1715.23   16.32    14.98   1624.45    
 1743.71   17.33    16.63   1651.71    
 1771.66   18.51    18.58   1678.31    
 1799.85   20.42    20.49   1704.88   
 1828.20   23.17    19.76   1731.20   
 1856.07   25.42    17.98   1756.60   
 1883.87   26.69    17.12   1781.58   
 1911.66   28.10    16.95   1806.25   
 1940.09   29.16    16.01   1831.21    
 1968.55   30.14    16.51   1855.94    
 1996.97   30.50    16.56   1880.47   
 2025.72   31.57    15.18   1905.11   
 2054.30   33.08    15.17   1929.26   
 2082.16   34.88    15.88   1952.36    
 2110.25   35.90    15.66   1975.26    
 2138.95   35.65    15.62   1998.54   
 2167.06   35.06    15.90   2021.47   
 2195.23   35.49    15.33   2044.47    
 2223.73   35.63    14.64   2067.65   
 2252.41   35.09    14.78   2091.04   
 2280.52   35.02    15.15   2114.05    
 2308.84   34.53    15.73   2137.31   
 2337.65   33.85    16.09   2161.14    
 2366.19   33.41    16.67   2184.91    
 2394.64   32.86    16.66   2208.73    
 2423.12   34.21    16.41   2232.47    
 2451.49   35.43    16.13   2255.76    
 2479.81   35.01    15.65   2278.90  
 2508.12   34.77    16.95   2302.12    
 2536.39   35.16    16.22   2325.28    
 2564.74   35.95    15.59   2348.35   
 2592.67   35.43    15.84   2371.03    
 2620.98   33.74    16.01   2394.34    
 2648.88   33.12    15.81   2417.62   
 2676.89   31.07    16.67   2441.35   
 2704.92   28.99    17.49   2465.62   
 2733.19   26.59    16.93   2490.63   
 2761.46   25.70    16.11   2516.00   
 2789.74   24.10    15.60   2541.65   
 2818.01   21.92    14.90   2567.67    
 2845.67   20.80    14.78   2593.43    
 2873.95   19.70    13.24   2619.96    
 2902.24   18.59    12.87   2646.69    
 2930.49   16.82    13.05   2673.60    
 2958.44   15.52    16.38   2700.44    
 2986.10   15.23    16.29   2727.11    
 3014.40   14.98    17.40   2754.44    
 3042.65   14.77    17.59   2781.74    
 3070.96   14.19    15.65   2809.15    
 3098.82   13.93    12.01   2836.18    
 3127.14   13.90    12.46   2863.67   
 3155.34   13.91    14.26   2891.04   
 3183.35   14.11    14.35   2918.22   
 3211.64   14.07    14.27   2945.65    
 3239.82   13.96    13.56   2973.00   
 3268.01   13.81    13.56   3000.36    
 3296.29   13.89    14.39   3027.82   
 3324.11   13.79    14.37   3054.83    
 3352.07   13.81    13.93   3081.98   
 3380.04   13.96    13.92   3109.14    
 3408.13   13.91    15.04   3136.40    
 3436.10   13.75    15.30   3163.56    
 3464.07   13.71    15.74   3190.73    
 3492.18   13.66    17.06   3218.04  
 3520.50   13.57    17.36   3245.57  
************************************************************************************************************************************************************
      MD     INC      AZT       TVD        
