******************************************************

Date and time of analysis:  15-Nov-2020     20:17:38

Well path file:     em-input2.txt 
Initial MD unit:    [m]

Tool model file:    MWD.IPM



******************************************************

Error terms included in analysis (name and IDtype):  
------------------------------------------------------
        drfr	               depth
        dsfs	               depth
        dstg	               depth
        xym1	               misal
        xym2	               misal
        xym3	               misal
        xym4	               misal
         sag	                 sag
        decg	             mwd_mag
        dbhg	             mwd_mag
        amil	             mwd_mag
    abxy_ti1	           mwd_accel
    abxy_ti2	       mwd_accel_lat
         abz	           mwd_accel
    asxy_ti1	           mwd_accel
    asxy_ti2	           mwd_accel
    asxy_ti3	           mwd_accel
         asz	           mwd_accel
    mbxy_ti1	             mwd_mag
    mbxy_ti2	             mwd_mag
         mbz	             mwd_mag
    msxy_ti1	             mwd_mag
    msxy_ti2	             mwd_mag
    msxy_ti3	             mwd_mag
         msz	             mwd_mag

******************************************************

     Angle unit:      deg

      MD     INC      AZT       TVD       
***************************************
   84.48    0.46   137.90      0.00   
  112.84    0.08   318.54     28.36    
  141.10    0.59   121.82     56.62    
  169.81    0.62   110.01     85.33    
  197.86    1.55   333.45    113.37    
  225.90    4.03   333.59    141.38    
  254.53    4.38   346.33    169.93    
  281.94    4.33   350.15    197.26   
  309.93    4.93   345.27    225.16    
  338.37    5.57   351.45    253.48    
  366.28    5.78   355.88    281.26   
  394.19    5.50   353.72    309.03    
  422.22    5.18   349.22    336.94   
  449.75    5.15   353.05    364.36   
  477.48    5.28   356.69    391.97    
  505.96    4.79   356.74    420.34    
  533.95    4.37   351.26    448.24    
  561.65    3.60   348.86    475.88   
  589.73    2.31   359.96    503.92    
  617.82    0.87    27.37    532.00    
  646.34    0.85   148.61    560.52    
  675.21    0.79   177.67    589.38    
  704.13    0.16    66.91    618.30   
  731.86    0.62    50.80    646.03    
  759.90    0.60    63.10    674.07    
  788.48    0.55    85.07    702.65    
  816.75    0.44    71.09    730.92    
  844.48    0.23    91.91    758.65  
  872.82    0.22   214.42    786.99    
  900.26    0.36   301.77    814.43   
  928.34    0.40   335.79    842.51    
  955.77    0.38   318.12    869.94   
  984.04    0.52   278.63    898.21    
 1011.97    0.42   280.59    926.14   
 1039.76    0.29   344.24    953.92   
 1067.69    0.50   308.82    981.85   
 1095.57    0.28   287.74   1009.73    
 1123.20    0.44   318.07   1037.36    
 1151.74    0.41   315.09   1065.90   
 1180.51    0.58   302.44   1094.67   
 1208.59    0.76   322.95   1122.75    
 1237.21    0.87   326.44   1151.37    
 1266.01    0.81   314.43   1180.16    
 1294.62    0.98   321.98   1208.77    
 1323.09    1.09   322.03   1237.23  
 1351.61    1.10   332.57   1265.75    
 1379.74    2.10   353.26   1293.87    
 1407.73    4.02     1.43   1321.82    
 1435.63    5.44    13.61   1349.62    
 1463.64    5.73    16.62   1377.50    
 1491.61    6.36    17.85   1405.31    
 1519.30    7.42    16.94   1432.80    
 1547.39    8.90    16.05   1460.61    
 1575.73   10.15    17.17   1488.56  
 1603.34   11.28    18.11   1515.69    
 1631.39   12.64    17.21   1543.13   
 1659.09   14.36    14.50   1570.06  
 1687.08   15.64    13.78   1597.10    
 1715.23   16.64    14.83   1624.14   
 1743.71   17.70    16.56   1651.35    
